time,open,high,low,close,tick_volume,real_volume,ATR,result,Supertrend_Direction,RSI,MACD,MACD_signal,MACD_diff,EMA_21,Day of the week,Is Weekend,Month,hour,high_liquidity
2025-06-13 13:00:00,3436.688,3441.531,3435.529,3440.791,5437,0,6.300214285714252,Buy,1,72.35402745887404,3.553850023249197,1.5401137995331706,2.0137362237160263,3425.283883256134,4,True,13,13,1
2025-06-13 13:15:00,3440.784,3444.597,3437.598,3443.476,4739,0,6.453285714285682,Sell,1,74.21257687520121,4.534973284924035,2.1390856966113434,2.395887588312692,3426.9377120510308,4,True,13,13,1
2025-06-13 13:30:00,3443.522,3446.899,3439.619,3442.017,6774,0,6.33392857142852,Sell,1,71.40353857545628,5.135591529427529,2.738386863174581,2.3972046662529483,3428.308556410028,4,True,13,13,1
2025-06-13 13:45:00,3442.058,3442.743,3434.013,3437.083,5824,0,6.4235714285713845,Sell,1,62.752999456433784,5.154040677919966,3.221517626123658,1.9325230517963075,3429.1062331000253,4,True,13,13,1
2025-06-13 14:00:00,3436.992,3438.404,3427.096,3429.588,6529,0,6.505357142857098,Sell,1,52.37318479441063,4.511867894796524,3.4795876798582315,1.0322802149382921,3429.150030090932,4,True,13,14,1
2025-06-13 14:15:00,3429.534,3436.121,3424.857,3436.099,6593,0,6.927428571428534,Buy,1,58.75554639580593,4.476719783861881,3.6790141006589616,0.7977056832029197,3429.78175462812,4,True,13,14,1
2025-06-13 14:30:00,3436.06,3436.962,3432.98,3436.229,3919,0,6.880285714285686,Sell,1,58.87404852778794,4.408535710806063,3.824918422688382,0.5836172881176815,3430.367867843745,4,True,13,14,1
2025-06-13 14:45:00,3436.23,3439.959,3423.807,3427.936,7621,0,7.657428571428552,Sell,1,49.168864317338,3.6433255599986296,3.7885998501504314,-0.14527429015180182,3430.146788948859,4,True,13,14,1
2025-06-13 15:00:00,3427.904,3430.471,3422.846,3424.555,5983,0,7.937071428571406,Hold,1,45.850371164173566,2.732573156260969,3.577394511372539,-0.84482135511157,3429.6384444989626,4,True,13,15,0
2025-06-13 15:15:00,3424.525,3429.666,3421.825,3426.104,4762,0,8.222857142857135,Hold,1,47.59543298163752,2.1114472199274132,3.284205053083514,-1.1727578331561008,3429.317131362693,4,True,13,15,0
2025-06-13 15:30:00,3426.063,3426.488,3420.986,3424.419,4246,0,8.247500000000011,Hold,1,45.86394335058618,1.466332059324941,2.9206304543318,-1.4542983950068589,3428.8718466933574,4,True,13,15,0
2025-06-13 15:45:00,3424.459,3426.632,3423.085,3426.286,2740,0,8.059357142857152,Hold,1,48.116188111341266,1.0931240895165502,2.5551291813687502,-1.4620050918522,3428.6367697212336,4,True,13,15,0
2025-06-13 16:00:00,3426.338,3428.327,3419.283,3420.266,2966,0,8.136000000000033,Hold,-1,42.04247714726114,0.3080395081615279,2.105711246727306,-1.797671738565778,3427.8757906556666,4,True,13,16,0
2025-06-13 16:15:00,3420.332,3427.58,3420.279,3427.223,2167,0,8.0421428571429,Buy,-1,49.91134844902389,0.24440868791862158,1.7334507349655692,-1.4890420470469476,3427.816446050606,4,True,13,16,0
2025-06-13 16:30:00,3427.272,3431.194,3426.614,3429.416,2539,0,7.940571428571469,Hold,-1,52.11820625104709,0.3667103679235879,1.460102661557173,-1.0933922936335851,3427.9618600460053,4,True,13,16,0
2025-06-13 16:45:00,3429.457,3430.631,3428.046,3430.127,2221,0,7.62528571428574,Hold,-1,52.84362878265525,0.5150696856712784,1.2710960663799942,-0.7560263807087158,3428.1586909509138,4,True,13,16,0
2025-06-13 17:00:00,3430.12,3432.353,3427.881,3431.616,2469,0,7.424714285714344,Hold,-1,54.40167140200574,0.7442165051534175,1.1657201541346789,-0.42150364898126136,3428.472991773558,4,True,13,17,0
2025-06-13 17:15:00,3431.67,3433.623,3430.042,3432.135,2751,0,7.056928571428638,Hold,-1,54.96026013626336,0.9566680987049949,1.1239097430487421,-0.16724164434374722,3428.8059016123257,4,True,13,17,0
2025-06-13 17:30:00,3432.097,3432.862,3428.709,3429.688,2504,0,6.545857142857228,Hold,-1,51.74188412504973,0.9170142976568059,1.082530653970355,-0.1655163563135491,3428.8860923748416,4,True,13,17,0
2025-06-13 17:45:00,3429.681,3430.71,3427.491,3430.495,1870,0,5.971214285714366,Buy,-1,52.725086667494196,0.9398722678020022,1.0539989767366844,-0.11412670893468224,3429.0323567044015,4,True,13,17,0
2025-06-13 18:00:00,3430.423,3434.845,3429.434,3433.345,2647,0,6.073285714285768,Buy,-1,56.124839598568016,1.174420566146182,1.078083294618584,0.09633727152759786,3429.4244151858193,4,True,13,18,0
2025-06-13 18:15:00,3433.385,3435.892,3428.797,3432.639,2871,0,5.426357142857179,Hold,-1,55.06835482551103,1.2884806794791075,1.1201627715906888,0.16831790788841872,3429.7166501689267,4,True,13,18,0
2025-06-13 18:30:00,3432.603,3436.428,3431.931,3435.405,2985,0,5.202928571428596,Hold,-1,58.37434365436034,1.583810048279247,1.2128922269284006,0.3709178213508464,3430.2337728808425,4,True,13,18,0
2025-06-13 18:45:00,3435.353,3439.553,3433.917,3436.635,2603,0,5.045428571428569,Hold,-1,59.791143190154806,1.8952639976441787,1.3493665810715563,0.5458974165726225,3430.815702618948,4,True,13,18,0
2025-06-13 19:00:00,3436.624,3438.271,3435.168,3436.422,2306,0,4.874071428571434,Sell,-1,59.41400948484884,2.100690721531919,1.499631409163629,0.6010593123682899,3431.3253660172254,4,True,13,19,0
2025-06-13 19:15:00,3436.409,3437.96,3434.087,3435.251,2173,0,4.897357142857151,Sell,-1,57.275128886151144,2.1442849841619136,1.628562124163286,0.5157228599986277,3431.682241833841,4,True,13,19,0
2025-06-13 19:30:00,3435.254,3435.759,3431.738,3434.64,2392,0,4.538571428571426,Buy,-1,56.139503106580584,2.105262996374222,1.7239022986054733,0.3813606977687487,3431.951128939855,4,True,13,19,0
2025-06-13 19:45:00,3434.693,3434.944,3431.87,3432.387,2451,0,4.235714285714299,Buy,-1,52.041925487412556,1.870972117094425,1.7533162623032637,0.11765585479116125,3431.9907535816865,4,True,13,19,0
2025-06-13 20:00:00,3432.432,3433.62,3429.045,3432.966,1935,0,4.235357142857148,Buy,-1,52.99151719758267,1.7122773015094026,1.7451084701444917,-0.03283116863508906,3432.0794123469877,4,True,13,20,0
